time,open,high,low,close,tick_volume,spread,real_volume
2025-08-29 22:00:00,108710.000000,109310.000000,108495.000000,109205.000000,2498,3500,0
2025-08-29 22:30:00,109210.000000,109310.000000,108690.000000,108725.000000,2506,3500,0
2025-08-29 23:00:00,108730.000000,108840.000000,108175.000000,108440.000000,2649,3500,0
2025-08-29 23:30:00,108435.000000,108435.000000,107990.000000,108325.000000,1910,4000,0
2025-09-01 01:00:00,109495.000000,109810.000000,109320.000000,109730.000000,1204,4000,0
2025-09-01 01:30:00,109725.000000,109750.000000,109275.000000,109395.000000,973,4000,0
2025-09-01 02:00:00,109395.000000,109450.000000,108815.000000,108870.000000,1753,4000,0
2025-09-01 02:30:00,108870.000000,108900.000000,108530.000000,108780.000000,2451,4000,0
2025-09-01 03:00:00,108775.000000,108880.000000,108075.000000,108310.000000,3052,4000,0
2025-09-01 03:30:00,108300.000000,108925.000000,108165.000000,108730.000000,2629,4000,0
2025-09-01 04:00:00,108740.000000,108875.000000,108445.000000,108745.000000,2037,4000,0
2025-09-01 04:30:00,108750.000000,109020.000000,108475.000000,108680.000000,2290,4000,0
2025-09-01 05:00:00,108680.000000,108740.000000,108105.000000,108245.000000,2463,4000,0
2025-09-01 05:30:00,108240.000000,108285.000000,107955.000000,108180.000000,2453,4000,0
2025-09-01 06:00:00,108185.000000,108335.000000,107980.000000,108065.000000,2197,4000,0
2025-09-01 06:30:00,108065.000000,108255.000000,107925.000000,108180.000000,1498,4000,0
2025-09-01 07:00:00,108140.000000,108305.000000,107790.000000,108005.000000,1307,4000,0
2025-09-01 07:30:00,107990.000000,107995.000000,107765.000000,107895.000000,1551,4000,0
2025-09-01 08:00:00,107900.000000,108260.000000,107765.000000,108255.000000,1642,4000,0
2025-09-01 08:30:00,108255.000000,108535.000000,108185.000000,108395.000000,1036,4000,0
2025-09-01 09:00:00,108395.000000,108585.000000,108120.000000,108475.000000,1430,4000,0
2025-09-01 09:30:00,108485.000000,108685.000000,108440.000000,108615.000000,1443,4000,0
2025-09-01 10:00:00,108620.000000,109020.000000,108530.000000,109010.000000,1814,4000,0
2025-09-01 10:30:00,109000.000000,110035.000000,109000.000000,110025.000000,3002,4000,0
2025-09-01 11:00:00,109995.000000,110385.000000,109970.000000,110020.000000,2638,4000,0
2025-09-01 11:30:00,110020.000000,110275.000000,109990.000000,110185.000000,1474,4000,0
2025-09-01 12:00:00,110180.000000,110390.000000,110045.000000,110290.000000,1608,4000,0
2025-09-01 12:30:00,110295.000000,110490.000000,110055.000000,110085.000000,1487,4000,0
2025-09-01 13:00:00,110095.000000,110100.000000,109435.000000,109460.000000,1930,4000,0
2025-09-01 13:30:00,109450.000000,109480.000000,108750.000000,109140.000000,2489,3500,0
2025-09-01 14:00:00,109135.000000,109300.000000,109025.000000,109255.000000,1647,4000,0
2025-09-01 14:30:00,109265.000000,109435.000000,109020.000000,109340.000000,1483,4000,0
2025-09-01 15:00:00,109330.000000,109575.000000,109185.000000,109495.000000,1343,4000,0
2025-09-01 15:30:00,109505.000000,109730.000000,109440.000000,109695.000000,1825,4000,0
2025-09-01 16:00:00,109700.000000,110065.000000,109610.000000,109985.000000,2159,4000,0
2025-09-01 16:30:00,109985.000000,110015.000000,109465.000000,109550.000000,2737,4000,0
2025-09-01 17:00:00,109575.000000,109890.000000,109505.000000,109635.000000,1880,4000,0
2025-09-01 17:30:00,109640.000000,109810.000000,109380.000000,109720.000000,2063,4000,0
2025-09-01 18:00:00,109710.000000,109960.000000,109180.000000,109250.000000,2468,4000,0
2025-09-01 18:30:00,109250.000000,109420.000000,109095.000000,109325.000000,1925,4000,0
2025-09-01 19:00:00,109325.000000,109680.000000,109190.000000,109535.000000,1990,3000,0
2025-09-01 19:30:00,109535.000000,109615.000000,109260.000000,109365.000000,1507,3000,0
2025-09-01 20:00:00,109365.000000,109445.000000,108940.000000,109215.000000,1712,4000,0
2025-09-01 20:30:00,109195.000000,109540.000000,109100.000000,109500.000000,1332,4000,0
2025-09-01 21:00:00,109500.000000,109775.000000,109490.000000,109760.000000,752,4000,0
2025-09-01 21:30:00,109760.000000,109840.000000,109580.000000,109800.000000,731,4000,0
2025-09-01 22:00:00,109805.000000,109885.000000,109720.000000,109745.000000,389,4000,0
2025-09-01 22:30:00,109740.000000,109885.000000,109725.000000,109775.000000,369,4000,0
2025-09-01 23:00:00,109775.000000,109795.000000,109555.000000,109650.000000,456,4000,0
2025-09-01 23:30:00,109645.000000,109665.000000,108870.000000,109335.000000,2042,4000,0
2025-09-02 01:00:00,108335.000000,108825.000000,108145.000000,108655.000000,1779,4000,0
2025-09-02 01:30:00,108660.000000,109105.000000,108505.000000,109040.000000,1334,4000,0
2025-09-02 02:00:00,109025.000000,109340.000000,109005.000000,109330.000000,1754,4000,0
2025-09-02 02:30:00,109330.000000,110060.000000,109200.000000,109850.000000,1817,4000,0
2025-09-02 03:00:00,109855.000000,109960.000000,109605.000000,109615.000000,1830,4000,0
2025-09-02 03:30:00,109605.000000,109730.000000,109480.000000,109645.000000,1591,4000,0
2025-09-02 04:00:00,109640.000000,109915.000000,109625.000000,109825.000000,1476,4000,0
2025-09-02 04:30:00,109845.000000,110235.000000,109585.000000,109925.000000,1949,4000,0
