ts,symbol,tf,price,rsi14,ema50,p_up,signal,source
1763510184.222037,US30Z25.sim,H1,46218.4,38.355265430180026,46731.74345752229,,0,rule,1,0,H4,-1
1763510184.222037,US100Z25.sim,H1,24585.86,40.91934244378366,24876.39045066292,,0,rule,1,0,H4,-1
1763510184.222037,US500Z25.sim,H1,6640.75,43.492830423940205,6699.1772775695945,,0,rule,1,0,H4,-1
1763510184.222037,BTCX25.sim,H1,92922.5,69.39730836746635,93585.78761053736,,0,rule,1,0,H4,-1
1763510425.4043918,XAUZ25.sim,H1,4075.62,65.56849791376888,4069.7490515745408,,0,rule,2,0,H4,-1
1763510425.4043918,US30Z25.sim,H1,46222.5,38.46365733567466,46711.97293023329,,0,rule,2,0,H4,-1
1763510425.4043918,US100Z25.sim,H1,24588.86,39.41682723185614,24865.23431961317,,0,rule,2,0,H4,-1
1763510425.4043918,US500Z25.sim,H1,6641.33,42.20709423145829,6696.936294321374,,0,rule,2,0,H4,-1
1763510425.4043918,BTCX25.sim,H1,92985.0,68.4084084084084,93564.86699827196,,0,rule,2,0,H4,-1
1763510833.0961094,XAUZ25.sim,H1,4072.42,63.79397834912031,4069.623561378462,,0,rule,2,0,H4,-1
1763510833.0961094,US30Z25.sim,H1,46175.9,37.2677231025855,46710.1454792529,,0,rule,2,0,H4,-1
1763510833.0961094,US100Z25.sim,H1,24551.61,38.19834024896266,24863.773535299442,,0,rule,2,0,H4,-1
1763510833.0961094,US500Z25.sim,H1,6633.18,40.88069715431489,6696.616686478236,,0,rule,2,0,H4,-1
1763510833.0961094,BTCX25.sim,H1,92660.0,63.45403899721448,93552.12190023274,,0,rule,2,0,H4,-1
1763514028.4133067,XAUZ25.sim,H1,4067.4,59.96819551389353,4069.405924527002,,0,rule,3,0,H4,-1
1763514028.4133067,US30Z25.sim,H1,46188.4,37.99142973745077,46690.33672144802,,0,rule,3,0,H4,-1
1763514028.4133067,US100Z25.sim,H1,24545.61,38.386929979651015,24851.409709374893,,0,rule,3,0,H4,-1
1763514028.4133067,US500Z25.sim,H1,6633.88,41.099395255078264,6694.24121364303,,0,rule,3,0,H4,-1
1763514028.4133067,BTCX25.sim,H1,92325.0,57.52688172043011,93495.52825186888,,0,rule,3,0,H4,-1
1763517615.4006853,XAUZ25.sim,H1,4059.93,58.58618726104265,4068.7388964873935,,0,rule,4,0,H4,-1
1763517615.4006853,US30Z25.sim,H1,46181.2,40.589180503481415,46669.73007195637,,0,rule,4,0,H4,-1
1763517615.4006853,US100Z25.sim,H1,24559.43,39.84750931887489,24840.100897294247,,0,rule,4,0,H4,-1
1763517615.4006853,US500Z25.sim,H1,6635.4,42.33453575909651,6691.917528759754,,0,rule,4,0,H4,-1
1763517615.4006853,BTCX25.sim,H1,92475.0,59.81308411214953,93461.34971398769,,0,rule,4,0,H4,-1
1763523522.383781,XAUZ25.sim,H1,4071.53,64.64356654160231,4069.445493937506,,0,rule,5,0,H4,0
1763523522.383781,US30Z25.sim,H1,46169.25,46.08968444362439,46652.21483735741,,0,rule,5,0,H4,-1
1763523522.383781,US100Z25.sim,H1,24568.43,44.97644068071053,24832.65639313802,,0,rule,5,0,H4,-1
1763523522.383781,US500Z25.sim,H1,6636.58,47.38243123336296,6690.306905596844,,0,rule,5,0,H4,-1
1763523522.383781,BTCX25.sim,H1,91812.5,52.55338904363974,93401.01708959806,,0,rule,5,0,H4,-1
1763524818.8881426,XAUZ25.sim,H1,4065.52,50.08308714918752,4069.112118565097,,0,rule,6,0,H4,0
1763524818.8881426,US30Z25.sim,H1,46127.6,42.89940828402367,46630.19125103348,,0,rule,6,0,H4,-1
1763524818.8881426,US100Z25.sim,H1,24537.03,42.15283483976989,24820.012034958625,,0,rule,6,0,H4,-1
1763524818.8881426,US500Z25.sim,H1,6629.75,43.80444165424153,6687.697410900004,,0,rule,6,0,H4,-1
1763524818.8881426,BTCX25.sim,H1,91830.0,52.79850746268657,93341.86004208201,,0,rule,6,0,H4,-1
1763528405.419511,XAUZ25.sim,H1,4074.72,54.00207900207886,4069.689275777968,,0,rule,7,0,H4,0
1763528405.419511,US30Z25.sim,H1,46115.4,47.908948711616226,46609.470261904105,,0,rule,7,0,H4,-1
1763528405.419511,US100Z25.sim,H1,24520.93,49.95136139925076,24807.65788086353,,0,rule,7,0,H4,-1
1763528405.419511,US500Z25.sim,H1,6627.1,51.21794871794886,6685.212911726768,,0,rule,7,0,H4,-1
1763528405.419511,BTCX25.sim,H1,91147.5,48.04753820033955,93230.09675041036,,0,rule,7,0,H4,-1
1763532022.5629003,XAUZ25.sim,H1,4096.68,67.47510440089944,4071.5668434240856,,1,rule,8,1,H4,0
1763532022.5629003,US30Z25.sim,H1,46136.55,54.55366823274316,46591.747428970455,,0,rule,8,1,H4,-1
1763532022.5629003,US100Z25.sim,H1,24538.43,54.162204756228256,24797.57072691807,,0,rule,8,1,H4,-1
1763532022.5629003,US500Z25.sim,H1,6630.13,55.529241179313736,6683.166925745119,,0,rule,8,1,H4,-1
1763532022.5629003,BTCX25.sim,H1,90257.5,24.293243890752265,93087.14866126297,,-1,rule,8,1,H4,-1
1763535609.325416,XAUZ25.sim,H1,4091.54,60.543214161749326,4072.154606411297,,1,rule,9,1,H4,0
1763535609.325416,US30Z25.sim,H1,46157.0,47.60613330551782,46575.43514523361,,0,rule,9,1,H4,-1
1763535609.325416,US100Z25.sim,H1,24552.86,43.88904690649624,24788.414279872482,,-1,rule,9,1,H4,-1
1763535609.325416,US500Z25.sim,H1,6634.3,46.23699894822945,6681.381322952427,,0,rule,9,1,H4,-1
1763535609.325416,BTCX25.sim,H1,90962.5,22.79260780287474,93030.39044809682,,-1,rule,9,1,H4,-1
1763539225.931651,XAUZ25.sim,H1,4084.86,55.46247221747312,4072.4878749265445,,1,rule,10,1,H4,0
